Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~3319 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2906 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~2894 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~2894 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~2894 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick (~2889 damage, 0 super art gauge, 3.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~2874 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~2860 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~2848 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~2843 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~2840 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > OD Sonic Boom (~2823 damage, 0 super art gauge, 5.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2806 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Double Shot > OD Sonic Boom (~2800 damage, 0 super art gauge, 2.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick (~2789 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2780 damage, 0 super art gauge, 0.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom (~2770 damage, 0 super art gauge, 5.0 drive gauge)
Jumping Heavy Kick > Double Shot > Somersault Kick (~2740 damage, 0 super art gauge, 0.0 drive gauge)
Drive Impact (Punish Counter) > Double Shot > Somersault Kick (~2740 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~2724 damage, 0 super art gauge, 3.5 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > OD Sonic Boom (~2685 damage, 0 super art gauge, 5.0 drive gauge)
Drive Impact (Punish Counter) > Phantom Cutter > OD Somersault Kick (~2680 damage, 0 super art gauge, 2.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~2673 damage, 0 super art gauge, 3.5 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom (~2670 damage, 0 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~2639 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~2631 damage, 0 super art gauge, 3.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick (~2622 damage, 0 super art gauge, 3.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > OD Sonic Boom (~2622 damage, 0 super art gauge, 5.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2605 damage, 0 super art gauge, 3.5 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > OD Sonic Boom (~2585 damage, 0 super art gauge, 5.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom (~2580 damage, 0 super art gauge, 2.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot (~2571 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~2566 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~2566 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~2566 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch > Double Shot > Somersault Kick (~2540 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom (~2537 damage, 0 super art gauge, 5.5 drive gauge)
Drive Impact (Punish Counter) > Phantom Cutter > Heavy Somersault Kick (~2520 damage, 0 super art gauge, 0.0 drive gauge)
Drive Impact (Punish Counter) > Phantom Cutter > Somersault Kick (~2520 damage, 0 super art gauge, 0.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~2498 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > OD Sonic Boom (~2486 damage, 0 super art gauge, 5.5 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~2466 damage, 0 super art gauge, 3.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~2466 damage, 0 super art gauge, 3.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~2466 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Double Shot > OD Sonic Boom (~2460 damage, 0 super art gauge, 2.0 drive gauge)
Drive Impact (Punish Counter) > Double Shot > OD Sonic Boom (~2460 damage, 0 super art gauge, 2.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~2401 damage, 0 super art gauge, 3.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~2401 damage, 0 super art gauge, 3.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~2401 damage, 0 super art gauge, 3.5 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~2398 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~2367 damage, 0 super art gauge, 3.5 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch (~2333 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~2320 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~2310 damage, 0 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~2300 damage, 0 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~2300 damage, 0 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~2300 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Double Shot > OD Sonic Boom (~2260 damage, 0 super art gauge, 2.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Somersault Kick (~2260 damage, 0 super art gauge, 0.5 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~2260 damage, 0 super art gauge, 3.0 drive gauge)
Crouching Light Punch (Counter) > Double Shot > Somersault Kick (~2240 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2240 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~2240 damage, 0 super art gauge, 0.5 drive gauge)
Phantom Cutter > OD Somersault Kick (~2200 damage, 0 super art gauge, 2.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Double Shot (~2200 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~2197 damage, 0 super art gauge, 3.5 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~2180 damage, 0 super art gauge, 0.5 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot (~2175 damage, 0 super art gauge, 3.0 drive gauge)
Double Shot > Somersault Kick (~2160 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~2160 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot (~2146 damage, 0 super art gauge, 3.5 drive gauge)
Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~2120 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Kick (Counter) > OD Somersault Kick (~2100 damage, 0 super art gauge, 2.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot (~2075 damage, 0 super art gauge, 3.0 drive gauge)
Phantom Cutter > Heavy Somersault Kick (~2000 damage, 0 super art gauge, 0.0 drive gauge)
Phantom Cutter > Somersault Kick (~2000 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Somersault Kick (~2000 damage, 0 super art gauge, 0.0 drive gauge)
Phantom Cutter (Punish Counter) > Heavy Somersault Kick (~2000 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom (~2000 damage, 0 super art gauge, 2.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > OD Sonic Boom (~1980 damage, 0 super art gauge, 2.5 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat (~1976 damage, 0 super art gauge, 3.0 drive gauge)
Crouching Light Punch (Counter) > Double Shot > OD Sonic Boom (~1960 damage, 0 super art gauge, 2.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch (~1942 damage, 0 super art gauge, 3.5 drive gauge)
Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~1920 damage, 0 super art gauge, 0.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch (~1903 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch (~1880 damage, 0 super art gauge, 0.0 drive gauge)
Double Shot > OD Sonic Boom (~1840 damage, 0 super art gauge, 2.0 drive gauge)
Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~1840 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch (~1803 damage, 0 super art gauge, 3.0 drive gauge)
Burning Straight > OD Sonic Boom (~1800 damage, 0 super art gauge, 2.0 drive gauge)
Crouching Medium Kick (Counter) > Medium Somersault Kick (~1800 damage, 0 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Double Shot (~1760 damage, 0 super art gauge, 0.0 drive gauge)
Drive Impact (Punish Counter) > Double Shot (~1760 damage, 0 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Crouching Heavy Kick (~1700 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Kick (Counter) > Light Somersault Kick (~1700 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Sonic Boom (~1700 damage, 0 super art gauge, 0.5 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Light Sonic Boom (~1700 damage, 0 super art gauge, 0.5 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Light Sonic Boom (Perfect) (~1700 damage, 0 super art gauge, 0.5 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~1680 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~1680 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~1680 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat (~1636 damage, 0 super art gauge, 3.5 drive gauge)
Crouching Medium Punch > OD Sonic Boom (~1600 damage, 0 super art gauge, 2.0 drive gauge)
Crouching Light Kick > Crouching Light Punch > Somersault Kick (~1590 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Light Punch > Somersault Kick (~1560 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch > Double Shot (~1560 damage, 0 super art gauge, 0.0 drive gauge)
Light Sonic Boom > Crouching Heavy Kick (~1500 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch (~1500 damage, 0 super art gauge, 0.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush (~1500 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat (~1495 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch (~1400 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Sonic Boom (~1400 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Light Sonic Boom (~1400 damage, 0 super art gauge, 0.0 drive gauge)
Drive Impact (Punish Counter) > Phantom Cutter (~1400 damage, 0 super art gauge, 0.0 drive gauge)
Light Sonic Boom (Perfect) > Standing Heavy Kick (~1400 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat (~1395 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch (~1280 damage, 0 super art gauge, 0.5 drive gauge)
Crouching Light Punch (Counter) > Double Shot (~1260 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch (~1220 damage, 0 super art gauge, 0.5 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick > Standing Heavy Punch > Cancel Drive Rush (~1220 damage, 0 super art gauge, 3.5 drive gauge)
Standing Medium Punch > Crouching Medium Punch (~1200 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Sonic Boom (~1200 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Light Sonic Boom (~1200 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Light Sonic Boom (Perfect) (~1200 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Light Kick > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom (~1130 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Light Punch > Standing Light Kick > Medium Sonic Boom (~1050 damage, 0 super art gauge, 0.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush (~900 damage, 0 super art gauge, 3.0 drive gauge)
Standing Light Kick > Medium Sonic Boom (~840 damage, 0 super art gauge, 0.0 drive gauge)
Burning Straight > Cancel Drive Rush (~800 damage, 0 super art gauge, 3.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum (~800 damage, 0 super art gauge, 0.5 drive gauge)
Crouching Light Kick > Crouching Light Punch > Standing Light Kick (~710 damage, 0 super art gauge, 0.0 drive gauge)
Crouching Light Punch > Standing Light Kick (~570 damage, 0 super art gauge, 0.0 drive gauge)
Parry Drive Rush > (After drive rush) Crouching Medium Kick (~500 damage, 0 super art gauge, 0.5 drive gauge)
Crouching Light Kick > Crouching Light Punch (~470 damage, 0 super art gauge, 0.0 drive gauge)
